CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH,PENETRATION_BEFORE,PENETRATION_AFTER,PENETRATION_GROWTH
1511 - RICE,STAPLE NEED,1.26,1.24,-0.0159,6427.5,2552.67,-0.6029,1.82,1.51,-0.1703,89427.0,91741.0,0.0259,163153.0,138954.0,-0.1483,7046.0,5056.0,-0.2824,0.2786,0.1635,-0.4131
1512 - SUGAR,STAPLE NEED,1.71,1.85,0.0819,5116.0,5272.67,0.0306,1.84,2.08,0.1304,29857.0,32323.0,0.0826,55075.0,67090.0,0.2182,5547.0,7621.0,0.3739,0.2194,0.2464,0.1231
1513 - FLOUR,STAPLE NEED,1.25,1.3,0.04,1246.0,1361.0,0.0923,1.23,1.37,0.1138,15665.0,16199.0,0.0341,19230.0,22136.0,0.1511,2030.0,2988.0,0.4719,0.0803,0.0966,0.203
1521 - PALM COOKING OIL,STAPLE NEED,1.36,1.39,0.0221,7885.5,8690.33,0.1021,1.63,1.95,0.1963,51972.0,53075.0,0.0212,84745.0,103572.0,0.2222,9672.0,13360.0,0.3813,0.3825,0.4319,0.1292
1522 - OTHER COOKING OIL,STAPLE NEED,1.32,1.23,-0.0682,75.0,43.67,-0.4177,1.17,1.22,0.0427,85070.0,86388.0,0.0155,99691.0,105764.0,0.0609,128.0,107.0,-0.1641,0.0051,0.0035,-0.3137
1523 - MARGARINE & BUTTER,STAPLE NEED,1.33,1.36,0.0226,2070.0,2411.33,0.1649,1.26,1.42,0.127,12563.0,12198.0,-0.0291,15842.0,17381.0,0.0971,3283.0,5077.0,0.5465,0.1298,0.1641,0.2643
1531 - SEED & BEAN,STAPLE NEED,1.23,1.16,-0.0569,91.0,92.0,0.011,1.09,1.23,0.1284,13432.0,13440.0,0.0006,14639.0,16560.0,0.1312,167.0,224.0,0.3413,0.0066,0.0072,0.0909
1532 - SUNDRIED CRACKER,STAPLE NEED,1.13,1.21,0.0708,52.0,45.0,-0.1346,1.28,1.34,0.0469,12971.0,10513.0,-0.1895,16654.0,14052.0,-0.1562,81.0,101.0,0.2469,0.0032,0.0033,0.0312
1611 - POWDER JELLY,STAPLE NEED,1.92,2.0,0.0417,507.5,560.33,0.1041,1.17,1.26,0.0769,12294.0,13055.0,0.0619,14443.0,16501.0,0.1425,864.0,1330.0,0.5394,0.0342,0.043,0.2573
1612 - PROCESSED PUDDING,STAPLE NEED,1.66,1.64,-0.012,661.0,679.67,0.0282,1.2,1.27,0.0583,20179.0,20677.0,0.0247,24251.0,26285.0,0.0839,1100.0,1604.0,0.4582,0.0435,0.0519,0.1931
1621 - ESSENCE,STAPLE NEED,1.09,1.13,0.0367,116.5,98.0,-0.1588,1.06,1.07,0.0094,10827.0,11132.0,0.0282,11519.0,11945.0,0.037,219.0,274.0,0.2511,0.0087,0.0089,0.023
1622 - COLOURING & FLAVOURING,STAPLE NEED,1.1,1.15,0.0455,99.0,95.33,-0.0371,1.15,1.19,0.0348,27352.0,27883.0,0.0194,31486.0,33090.0,0.0509,172.0,241.0,0.4012,0.0068,0.0078,0.1471
1623 - BAKING POWDER,STAPLE NEED,1.15,1.16,0.0087,185.5,177.33,-0.044,1.07,1.05,-0.0187,7920.0,8165.0,0.0309,8443.0,8551.0,0.0128,348.0,508.0,0.4598,0.0138,0.0164,0.1884
1624 - INSTANT PROCESS FOOD,STAPLE NEED,1.15,1.2,0.0435,104.5,91.33,-0.126,1.16,1.2,0.0345,19408.0,20091.0,0.0352,22534.0,24039.0,0.0668,180.0,229.0,0.2722,0.0071,0.0074,0.0423
1625 - COCONUT MILK,STAPLE NEED,2.26,1.96,-0.1327,2022.5,1675.33,-0.1717,1.38,1.56,0.1304,15678.0,14332.0,-0.0859,21629.0,22294.0,0.0307,2932.0,3231.0,0.102,0.1159,0.1045,-0.0984
1711 - MSG ( MONO SODIUM GLUTAMATE ),STAPLE NEED,1.2,1.22,0.0167,431.5,451.67,0.0467,1.3,1.41,0.0846,9054.0,9279.0,0.0249,11750.0,13111.0,0.1158,665.0,959.0,0.4421,0.0263,0.031,0.1787
1712 - SALT,STAPLE NEED,1.06,1.08,0.0189,563.5,547.0,-0.0293,1.11,1.18,0.0631,11024.0,10904.0,-0.0109,12253.0,12855.0,0.0491,1014.0,1392.0,0.3728,0.0401,0.045,0.1222
1713 - SPICES,STAPLE NEED,1.21,1.21,0.0,241.0,231.0,-0.0415,1.14,1.15,0.0088,11823.0,14434.0,0.2208,13472.0,16616.0,0.2334,423.0,602.0,0.4232,0.0167,0.0195,0.1677
1714 - STOCK SOUP,STAPLE NEED,1.3,1.3,0.0,1521.5,1443.67,-0.0512,1.33,1.47,0.1053,11016.0,11409.0,0.0357,14632.0,16813.0,0.1491,2291.0,2939.0,0.2828,0.0906,0.095,0.0486
1715 - MEAL MAKER,STAPLE NEED,1.81,1.77,-0.0221,1305.0,1084.67,-0.1688,1.22,1.29,0.0574,8890.0,8840.0,-0.0056,10828.0,11420.0,0.0547,2143.0,2519.0,0.1755,0.0847,0.0814,-0.039
1716 - FLOUR SEASONING,STAPLE NEED,1.47,1.52,0.034,1195.5,1260.33,0.0542,1.23,1.37,0.1138,11121.0,11616.0,0.0445,13650.0,15930.0,0.167,1948.0,2757.0,0.4153,0.077,0.0891,0.1571
"1717 - SHRIMP PASTE, PEANUT SAUCE AND OTHER",STAPLE NEED,1.12,1.12,0.0,145.5,139.33,-0.0424,1.1,1.14,0.0364,11201.0,10142.0,-0.0945,12300.0,11520.0,-0.0634,265.0,368.0,0.3887,0.0105,0.0119,0.1333
