SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
2212A - POTATOES 10-50G,2212 - POTATOES,SNACK,1.62,1.56,-0.037,846.0,559.0,-0.3392,1.16,1.18,0.0172,11959.0,11448.0,-0.0427,13859.0,13501.0,-0.0258,1460.0,1422.0,-0.026
2212B - POTATOES 54-85G,2212 - POTATOES,SNACK,1.33,1.34,0.0075,3397.0,3551.67,0.0455,1.27,1.35,0.063,15820.0,15907.0,0.0055,20157.0,21419.0,0.0626,5332.0,7913.0,0.4841
2212C - POTATOES 100-200G,2212 - POTATOES,SNACK,1.16,1.15,-0.0086,1422.5,1406.67,-0.0111,1.2,1.26,0.05,19375.0,19131.0,-0.0126,23288.0,24149.0,0.037,2367.0,3343.0,0.4123
2212D - POTATOES CAN,2212 - POTATOES,SNACK,1.35,1.32,-0.0222,1305.5,986.33,-0.2445,1.21,1.26,0.0413,29879.0,28040.0,-0.0615,36302.0,35262.0,-0.0286,2149.0,2353.0,0.0949
2213B - EXTRUDED & PELLET 20-49G,2213 - EXTRUDED & PELLET,SNACK,1.48,1.77,0.1959,1895.0,1173.0,-0.381,1.21,1.27,0.0496,6107.0,8295.0,0.3583,7397.0,10545.0,0.4256,3129.0,2768.0,-0.1154
2213C - EXTRUDED & PELLET 50-95G,2213 - EXTRUDED & PELLET,SNACK,1.61,1.54,-0.0435,7297.5,7210.33,-0.0119,1.4,1.51,0.0786,13268.0,12611.0,-0.0495,18568.0,19066.0,0.0268,10429.0,14308.0,0.3719
2213D - EXTRUDED & PELLET >100G,2213 - EXTRUDED & PELLET,SNACK,1.22,1.2,-0.0164,2664.5,2380.0,-0.1068,1.24,1.28,0.0323,17196.0,16945.0,-0.0146,21345.0,21620.0,0.0129,4293.0,5596.0,0.3035
2214A - TRADITIONAL CHIPS,2214 - TRADITIONAL SNACK,SNACK,1.08,1.09,0.0093,110.5,154.67,0.3997,1.2,1.21,0.0083,17299.0,17049.0,-0.0145,20778.0,20601.0,-0.0085,184.0,384.0,1.087
2214B - TRADITIONAL CAKE,2214 - TRADITIONAL SNACK,SNACK,1.14,1.13,-0.0088,134.5,101.33,-0.2466,1.13,1.08,-0.0442,18570.0,18572.0,0.0001,20900.0,20021.0,-0.0421,239.0,282.0,0.1799
2214C - TRADITIONAL CRACKERS,2214 - TRADITIONAL SNACK,SNACK,1.14,1.16,0.0175,415.5,384.33,-0.075,1.2,1.27,0.0583,12943.0,12882.0,-0.0047,15476.0,16357.0,0.0569,695.0,908.0,0.3065
