BRAND,SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
NEXTAR,2226C - SANDWICH BISCUIT 100-150G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.04,1.0,-0.0385,47.5,0.33,-0.9931,1.1,1.0,-0.0909,8892.0,9200.0,0.0346,9822.0,9200.0,-0.0633,86.0,1.0,-0.9884
NYAM-NYAM,2226C - SANDWICH BISCUIT 100-150G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,3.0,,,1.5,,,1.0,,,73200.0,,,73200.0,,,3.0,,
OREO,2226C - SANDWICH BISCUIT 100-150G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.25,1.25,0.0,1111.0,1299.33,0.1695,1.19,1.26,0.0588,12459.0,12588.0,0.0104,14868.0,15890.0,0.0687,1862.0,3088.0,0.6584
OVALTINE,2226C - SANDWICH BISCUIT 100-150G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.12,1.11,-0.0089,137.5,88.33,-0.3576,1.16,1.2,0.0345,18725.0,18677.0,-0.0026,21728.0,22497.0,0.0354,237.0,220.0,-0.0717
ROMA,2226C - SANDWICH BISCUIT 100-150G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.13,1.14,0.0088,436.0,687.33,0.5764,1.18,1.19,0.0085,13716.0,13679.0,-0.0027,16120.0,16304.0,0.0114,742.0,1730.0,1.3315
SERENA,2226C - SANDWICH BISCUIT 100-150G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.06,1.3,0.2264,115.0,142.0,0.2348,1.2,1.19,-0.0083,9623.0,12423.0,0.291,11528.0,14782.0,0.2823,192.0,358.0,0.8646
SLAI O'LAI,2226C - SANDWICH BISCUIT 100-150G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.08,1.12,0.037,220.0,232.0,0.0545,1.18,1.18,0.0,9272.0,9850.0,0.0623,10967.0,11581.0,0.056,372.0,592.0,0.5914
HATARI,2226D - SANDWICH BISCUIT 160-229G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.04,1.05,0.0096,103.5,80.67,-0.2206,1.17,1.15,-0.0171,12510.0,12712.0,0.0161,14631.0,14579.0,-0.0036,177.0,211.0,0.1921
JULIE'S,2226D - SANDWICH BISCUIT 160-229G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.25,1.2,-0.04,2.0,5.0,1.5,1.0,1.15,0.15,44875.0,42027.0,-0.0635,44875.0,48492.0,0.0806,4.0,13.0,2.25
KHONG GUAN,2226D - SANDWICH BISCUIT 160-229G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.11,1.13,0.018,221.0,174.67,-0.2096,1.15,1.21,0.0522,15746.0,17038.0,0.0821,18172.0,20618.0,0.1346,383.0,433.0,0.1305
MUNCHY'S,2226D - SANDWICH BISCUIT 160-229G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.29,1.3,0.0078,124.5,169.67,0.3628,1.18,1.21,0.0254,42650.0,40604.0,-0.048,50331.0,49326.0,-0.02,211.0,419.0,0.9858
ROMA,2226D - SANDWICH BISCUIT 160-229G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.14,1.14,0.0,333.0,306.67,-0.0791,1.12,1.18,0.0536,14504.0,14380.0,-0.0085,16317.0,17004.0,0.0421,592.0,778.0,0.3142
SLAI O'LAI,2226D - SANDWICH BISCUIT 160-229G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.02,1.06,0.0392,62.0,87.67,0.414,1.04,1.16,0.1154,14055.0,14397.0,0.0243,14645.0,16754.0,0.144,119.0,226.0,0.8992
UNIBIS,2226D - SANDWICH BISCUIT 160-229G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.11,1.06,-0.045,66.5,23.67,-0.6441,1.09,1.06,-0.0275,10408.0,9983.0,-0.0408,11347.0,10579.0,-0.0677,122.0,67.0,-0.4508
BETTER,2226E - SANDWICH BISCUIT 230-500G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.0,,,0.5,,,1.0,,,28400.0,,,28400.0,,,1.0,,
OREO,2226E - SANDWICH BISCUIT 230-500G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.81,1.68,-0.0718,108.5,9.33,-0.914,1.21,1.4,0.157,51357.0,35250.0,-0.3136,62259.0,49350.0,-0.2073,179.0,20.0,-0.8883
ROMA,2226E - SANDWICH BISCUIT 230-500G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.6,,,2.5,,,1.0,,,45440.0,,,45440.0,,,5.0,,
SUPERSTAR,2227A - WAFER BISCUIT PACK,2227 - WAFER BISCUIT,BISC & CONFECTIONARY,1.2,1.19,-0.0083,201.5,109.67,-0.4557,1.16,1.18,0.0172,11353.0,11396.0,0.0038,13185.0,13438.0,0.0192,347.0,279.0,-0.196
NABATI,2227B - WAFER BISCUIT 10-40G,2227 - WAFER BISCUIT,BISC & CONFECTIONARY,1.35,1.36,0.0074,10.0,15.0,0.5,1.0,1.02,0.02,10140.0,10264.0,0.0122,10140.0,10498.0,0.0353,20.0,44.0,1.2
NUTELLA,2227B - WAFER BISCUIT 10-40G,2227 - WAFER BISCUIT,BISC & CONFECTIONARY,1.49,1.38,-0.0738,64.0,56.33,-0.1198,1.09,1.1,0.0092,15818.0,14866.0,-0.0602,17305.0,16420.0,-0.0511,117.0,153.0,0.3077
GARUDA,2227C - WAFER BISCUIT 45-95G,2227 - WAFER BISCUIT,BISC & CONFECTIONARY,1.0,1.31,0.31,4.5,72.0,15.0,1.0,1.14,0.14,9100.0,12685.0,0.394,9100.0,14421.0,0.5847,9.0,190.0,20.1111
NABATI,2227C - WAFER BISCUIT 45-95G,2227 - WAFER BISCUIT,BISC & CONFECTIONARY,1.0,1.0,0.0,1.5,1.67,0.1133,1.0,1.0,0.0,5967.0,5900.0,-0.0112,5967.0,5900.0,-0.0112,3.0,5.0,0.6667
RICHEESE,2227C - WAFER BISCUIT 45-95G,2227 - WAFER BISCUIT,BISC & CONFECTIONARY,1.24,1.19,-0.0403,93.0,97.67,0.0502,1.05,1.13,0.0762,8384.0,8208.0,-0.021,8811.0,9286.0,0.0539,177.0,259.0,0.4633
TANGO,2227C - WAFER BISCUIT 45-95G,2227 - WAFER BISCUIT,BISC & CONFECTIONARY,1.41,1.29,-0.0851,152.0,148.33,-0.0241,1.07,1.11,0.0374,11582.0,10729.0,-0.0736,12354.0,11906.0,-0.0363,285.0,401.0,0.407
WAFELLO,2227C - WAFER BISCUIT 45-95G,2227 - WAFER BISCUIT,BISC & CONFECTIONARY,1.0,1.0,0.0,1.5,0.67,-0.5533,1.0,1.0,0.0,11500.0,11500.0,0.0,11500.0,11500.0,0.0,3.0,2.0,-0.3333
GET GIT,2227D - WAFER BISCUIT 100-145G,2227 - WAFER BISCUIT,BISC & CONFECTIONARY,2.19,1.93,-0.1187,118.0,127.33,0.0791,1.08,1.14,0.0556,15123.0,13365.0,-0.1162,16297.0,15195.0,-0.0676,219.0,336.0,0.5342
GIZZI,2227D - WAFER BISCUIT 100-145G,2227 - WAFER BISCUIT,BISC & CONFECTIONARY,2.06,1.62,-0.2136,25.5,75.33,1.9541,1.0,1.07,0.07,20186.0,15834.0,-0.2156,20186.0,16959.0,-0.1599,51.0,211.0,3.1373
NABATI,2227D - WAFER BISCUIT 100-145G,2227 - WAFER BISCUIT,BISC & CONFECTIONARY,1.3,1.36,0.0462,140.0,107.33,-0.2334,1.09,1.1,0.0092,11769.0,12469.0,0.0595,12822.0,13703.0,0.0687,257.0,293.0,0.1401
NISSIN,2227D - WAFER BISCUIT 100-145G,2227 - WAFER BISCUIT,BISC & CONFECTIONARY,1.18,1.21,0.0254,273.5,337.33,0.2334,1.13,1.2,0.0619,12888.0,14110.0,0.0948,14536.0,16899.0,0.1626,485.0,845.0,0.7423
NUTELLA,2227D - WAFER BISCUIT 100-145G,2227 - WAFER BISCUIT,BISC & CONFECTIONARY,,1.2,,,1.67,,,1.25,,,55600.0,,,69500.0,,,4.0,
OREO,2227D - WAFER BISCUIT 100-145G,2227 - WAFER BISCUIT,BISC & CONFECTIONARY,1.2,,,27.5,,,1.04,,,11225.0,,,11649.0,,,53.0,,
OVALTINE,2227D - WAFER BISCUIT 100-145G,2227 - WAFER BISCUIT,BISC & CONFECTIONARY,1.1,1.12,0.0182,136.5,122.33,-0.1038,1.2,1.27,0.0583,14718.0,14897.0,0.0122,17700.0,18984.0,0.0725,227.0,288.0,0.2687
RICHEESE,2227D - WAFER BISCUIT 100-145G,2227 - WAFER BISCUIT,BISC & CONFECTIONARY,1.25,1.4,0.12,609.5,473.0,-0.224,1.2,1.2,0.0,11735.0,13626.0,0.1611,14093.0,16414.0,0.1647,1015.0,1178.0,0.1606
RICHOCO,2227D - WAFER BISCUIT 100-145G,2227 - WAFER BISCUIT,BISC & CONFECTIONARY,1.2,1.47,0.225,666.0,470.0,-0.2943,1.19,1.21,0.0168,11163.0,13934.0,0.2482,13264.0,16923.0,0.2759,1121.0,1161.0,0.0357
SELAMAT,2227D - WAFER BISCUIT 100-145G,2227 - WAFER BISCUIT,BISC & CONFECTIONARY,1.13,1.1,-0.0265,324.0,236.33,-0.2706,1.21,1.22,0.0083,18553.0,18262.0,-0.0157,22430.0,22208.0,-0.0099,536.0,583.0,0.0877
TANGO,2227D - WAFER BISCUIT 100-145G,2227 - WAFER BISCUIT,BISC & CONFECTIONARY,1.22,1.54,0.2623,729.5,660.67,-0.0944,1.17,1.16,-0.0085,12419.0,14886.0,0.1986,14519.0,17203.0,0.1849,1248.0,1715.0,0.3742
