CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH,PENETRATION_BEFORE,PENETRATION_AFTER,PENETRATION_GROWTH
2221 - CAN BISCUIT,BISC & CONFECTIONARY,1.1,1.09,-0.0091,132.0,148.67,0.1263,1.09,1.16,0.0642,67150.0,60293.0,-0.1021,73254.0,70028.0,-0.044,242.0,384.0,0.5868,0.0096,0.0115,0.1979
2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.52,1.63,0.0724,6164.5,6543.0,0.0614,1.36,1.48,0.0882,15578.0,16062.0,0.0311,21206.0,23769.0,0.1209,9057.0,13264.0,0.4645,0.3587,0.3956,0.1029
2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.34,1.34,0.0,4031.0,4038.67,0.0019,1.33,1.43,0.0752,12758.0,13182.0,0.0332,16995.0,18808.0,0.1067,6052.0,8492.0,0.4032,0.2397,0.2533,0.0567
2224 - MARIE BISCUIT,BISC & CONFECTIONARY,1.18,1.19,0.0085,1171.0,1228.0,0.0487,1.2,1.26,0.05,16747.0,16271.0,-0.0284,20093.0,20571.0,0.0238,1952.0,2914.0,0.4928,0.0773,0.0869,0.1242
2225 - PIE BISCUIT,BISC & CONFECTIONARY,1.08,1.12,0.037,180.0,197.33,0.0963,1.09,1.12,0.0275,13646.0,14696.0,0.0769,14886.0,16509.0,0.109,330.0,527.0,0.597,0.0131,0.0157,0.1985
2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.34,1.34,0.0,4602.0,4932.33,0.0718,1.32,1.43,0.0833,15759.0,15105.0,-0.0415,20808.0,21623.0,0.0392,6971.0,10337.0,0.4829,0.2761,0.3083,0.1166
2227 - WAFER BISCUIT,BISC & CONFECTIONARY,1.42,1.57,0.1056,3451.5,3059.33,-0.1136,1.33,1.39,0.0451,14577.0,16091.0,0.1039,19445.0,22322.0,0.148,5175.0,6616.0,0.2785,0.2049,0.1973,-0.0371
2228 - STICK BISCUIT,BISC & CONFECTIONARY,1.59,1.64,0.0314,3717.0,3246.0,-0.1267,1.3,1.37,0.0538,14829.0,13441.0,-0.0936,19280.0,18420.0,-0.0446,5718.0,7106.0,0.2427,0.2264,0.212,-0.0636
2229 - SOFT CAKE,BISC & CONFECTIONARY,1.15,1.15,0.0,450.5,388.33,-0.138,1.18,1.2,0.0169,18330.0,18295.0,-0.0019,21674.0,22042.0,0.017,762.0,967.0,0.269,0.0302,0.0288,-0.0464
2301 - JELLY & PUDDING,BISC & CONFECTIONARY,1.25,1.37,0.096,486.0,512.67,0.0549,1.3,1.4,0.0769,11555.0,11453.0,-0.0088,15055.0,15999.0,0.0627,746.0,1101.0,0.4759,0.0295,0.0328,0.1119
